"id_fornecedor","id_rel_residuo","residuo","tipo_residuo","acondicionamento","estado_fisico","tecnologia","classe","categoria"
60,160,alumínio,Metal Não Ferroso,Caçamba,Sólido,Reciclagem,II-A,Reciclável
60,225,Papéis - Plásticos e Papelão,Recicláveis,Caçamba,Sólido,Reciclagem,II-A,Reciclável
60,226,Sucata Metálica,Metal Ferroso,Caçamba,Sólido,Reciclagem,II-A,Reciclável
60,227,Madeira,Madeira,Caçamba,Sólido,Reciclagem,II-A,Reciclável
60,544,Entulho Misturado,Entulho,"Container - 2,4m³",Sólido,Aterro Industrial,II-B,Reciclável
60,554,Resíduo Construção Civil - Obra,Construção Civil,Caçamba Roll On - 12m³,Sólido,Aterro Industrial,II-B,Reciclável
60,555,Resina,Sólidos Diversos,Caçamba Roll On - 12m³,Sólido,Aterro Industrial,II-A,Reciclável
60,558,Gelo,Orgânico,Caçamba Roll On - 12m³,Sólido,Compostagem,II-A,Reciclável
60,559,Resíduo Orgânico,Orgânico,Caçamba Roll On - 12m³,Sólido,Aterro Industrial,II-A,Não Reciclável
60,616,Poda de Árvore,Madeira,Caçamba Poli - 5m³,Sólido,Aterro Comum,II-A,Não Reciclável
60,1153,Resíduos de Banheiro,Sólidos Não Recicláveis,Sacos Plásticos,Sólido,Aterro Comum,II-A,Não Reciclável
60,1162,Poda de árvores,Orgânico,Caçamba Poli - 7m³,Sólido,Compostagem,II-A,Reciclável
60,390,Poda de Árvore,Madeira,Caçamba,Sólido,Aterro,II-A,Não Reciclável
60,1458,Gelo,Orgânico,Caçamba Roll On - 12m³,Sólido,Compostagem,II-A,Reciclável
60,1485,Poda de Árvore,Orgânico,Caçamba Poli - 7m³,Sólido,Compostagem,II-A,Reciclável
60,1489,Resíduo Sanitário,Orgânico,Caçamba Poli - 7m³,Sólido,Aterro Industrial,II-A,Reciclável
60,1490,Resíduo Restaurante,Orgânico,Caçamba Poli - 7m³,Sólido,Aterro Industrial,II-A,Reciclável
60,1499,GEL,Pastoso,Caçamba Roll On - 7m³,Pastoso,Coprocessamento,I,Não Reciclável
60,1569,Papel Branquinho,Papéis,Big-Bags,Sólido,Reciclagem,II-A,Reciclável
60,1572,Papel branquinho Ford,Plásticos,Fardos,Sólido,Reciclagem,II-A,Reciclável
60,1583,Papel pepsico,Papéis,Fardos,Sólido,Reciclagem,II-A,Reciclável
60,1585,Papelzinho branquinho,Papéis,Fardos,Sólido,Reciclagem,II-A,Reciclável
60,1595,Pet da Ford Bahia,Plásticos,Fardos,Sólido,Reciclagem,II-A,Reciclável
60,1607,Papelão BMW,Papéis,Fardos,Sólido,Reciclagem,II-A,Reciclável
60,1769,Papel Pepscio Itaquera,Papéis,Acondicionamento,Sólido,Reciclagem,II-A,Reciclável
60,2103,Caixa de Gordura,Líquidos Diversos,Bombona Plástica,Líquido,Compostagem,II-A,Reciclável
60,2139,Embalagens Contaminadas,Plásticos,Tambor,Sólido,Incineração,I,Não Reciclável
60,7039,Resíduo Restaurante,Orgânico,Caçamba Poli - 5m³,Sólido,Aterro Industrial,II-A,Não Reciclável
60,7040,Resíduo Sanitário,Orgânico,Caçamba Roll On - 5m³,Sólido,Aterro Industrial,II-A,Não Reciclável
60,7042,Resíduo Restaurante,Orgânico,Caçamba Poli - 5m³,Sólido,Aterro Industrial,II-A,Reciclável
60,7043,Resíduo Sanitário,Orgânico,Caçamba Poli - 5m³,Sólido,Aterro Industrial,II-A,Reciclável
60,18144,pla,Plásticos,Big-Bags,Sólido,Reciclagem,II-A,Reciclável
60,18886,Óleo de Cozinha,Líquidos Diversos,Baia,Líquido,Aterro Industrial,I,Não Reciclável
60,19015,Lixo Amarelo K1,Sólidos Contaminados,Caçamba Roll On - 28m³,Sólido,Incineração,I,Não Reciclável
60,19206,LODO AZUL,Lodo,Caçamba Poli - 7m³,Pastoso,Reprocessamento ,I,Não Reciclável
60,20720,Terra preta,Construção Civil,"",Gasoso,Armazenamento Temporário,I,Não Reciclável
60,20721,Terra preta,Construção Civil,"",Gasoso,Armazenamento Temporário,I,Reciclável
60,21074,Res Comum Restaurante,Lixo Comum,Big-Bags,Sólido,Aterro Comum,II-A,Não Reciclável
60,21080,teste milgrau,Lixo Comum,Caçamba Poli - 7m³,Sólido,Aterro Comum,II-A,Não Reciclável
60,25139,testemaicol,Líquidos Contaminados,Caçamba Poli - 3m³,Líquido,Aterro Comum,C,Reciclável
60,1357,aguá contaminada com óleo,Líquidos Contaminados,Tanque,Líquido,Incineração,I,Não Reciclável
60,26744,Concreto,Construção Civil,Caçamba Poli - 7m³,Sólido,Aterro Comum,A,Não Reciclável
60,26842,Resíduo Teste A.A ,Construção Civil,Baia,Líquido,Aterro Comum,C,Reciclável
60,26844,Resíduo 2 ,Construção Civil,Bombona Plástica,Pastoso,Aterro Industrial,II-A,Reciclável
60,26845,Teste 3 AA ,Líquidos Diversos,Caçamba Poli - 3m³,Líquido,Aterro Industrial,II-A,Reciclável
60,1475,Cobre,Metal Não Ferroso,Granel,Sólido,Reciclagem,II-A,Reciclável
60,26846,Teste Bruna A.A ,Líquidos Contaminados,Bombona Plástica,Líquido,Aterro Comum,II-B,Reciclável
60,26889,Madeira,Madeira,Caçamba 36 m³,Sólido,Incineração,II-A,Não Reciclável
60,26890,"Papel, Papelão e Plástico",Papéis,Caçamba 36 m³,Sólido,Reciclagem,II-A,Reciclável
60,26891,Resíduo de Restaurante e Banheiro,Metal Não Ferroso,Caçamba 36 m³,Sólido,Incineração,II-A,Não Reciclável
60,26892,Construção civil,Construção Civil,Caçamba 36 m³,Sólido,Incineração,II-A,Não Reciclável
60,26893,Resíduos de Poda,Sólidos Diversos,Caçamba 36 m³,Sólido,Incineração,II-A,Não Reciclável
60,26894,Resíduos de Espuma Ice Foam,Sólidos Diversos,Caçamba 36 m³,Sólido,Incineração,II-A,Não Reciclável
60,23504,Borra Metalica Azul,Pastoso,Caçamba Roll On - 7m³,Pastoso,Coprocessamento,I,Não Reciclável
60,28225,Orgânico ,Orgânico,,Sólido,Aterro Comum,II-A,Não Reciclável
60,28225,Orgânico ,Orgânico,,Sólido,Aterro Comum,II-A,Não Reciclável
60,28252,Blocos de Cimento,Construção Civil,Container - 400 Litros,Sólido,Aterro Comum,A,Reciclável
60,28252,Blocos de Cimento,Construção Civil,Container - 400 Litros,Sólido,Aterro Comum,A,Reciclável
60,28252,Blocos de Cimento,Construção Civil,Container - 400 Litros,Sólido,Aterro Comum,A,Reciclável
60,28520,Resíduo de Teste 2020,Jardinagem,Bombona Plástica,Sólido,Aterro Comum,II-A,Não Reciclável
60,28520,Resíduo de Teste 2020,Jardinagem,Bombona Plástica,Sólido,Aterro Comum,II-A,Não Reciclável
60,29449,Folha de papelão,Papéis,Big-Bags,Sólido,Aterro Comum,II-A,Reciclável
60,30033,Tijolo,Construção Civil,Caçamba 36 m³,Sólido,Reúso,A,Reciclável
60,30034,Vidro,Vidro,Caçamba Roll On - 40m³,Sólido,Reciclagem,B,Reciclável
60,30035,Telha,Construção Civil,Caçamba 36 m³,Sólido,Reúso,A,Reciclável
60,30036,Gesso,Construção Civil,"",Sólido,Reciclagem,B,Reciclável
60,30036,Gesso,Construção Civil,"",Sólido,Armazenamento Temporário,I,Reciclável
60,30041,Argamassa,Construção Civil,Bombona 5 Litros,Sólido,Reúso,A,Reciclável
60,30044,Revestimento Cerâmico,Construção Civil,Pallet,Sólido,Reúso,A,Reciclável
60,30047,Entulho de reformas,Construção Civil,Big-Bags,Sólido,Aterro Sanitário,D,Não Reciclável
60,30046,Papelão,Recicláveis,Barrica de Papelão,Sólido,Reciclagem,B,Reciclável
60,30066,Argamassa,Lixo Comum,Bombona 5 Litros,Líquido,Aterro Sanitário,C,Reciclável
60,30106,Argamassa,Construção Civil,Baia,Sólido,Reúso,I,Reciclável
60,30106,Argamassa,Construção Civil,Baia,Sólido,Aterro Comum,II-A,Não Reciclável
60,30106,Argamassa,Construção Civil,Baia,Sólido,Reúso,I,Reciclável
60,30106,Argamassa,Construção Civil,Baia,Sólido,Aterro Comum,II-A,Não Reciclável
60,30108,Tecido 2 ,Recicláveis,Bombona 5 Litros,Pastoso,Reciclagem,II-A,Reciclável
60,30124,Tecido 2 ,Recicláveis,Bombona 5 Litros,Sólido,Reciclagem,A,Reciclável
60,30125,Máscara descartável ,Recicláveis,Bombona Plástica,Sólido,Reciclagem,II-A,Reciclável
60,30125,Máscara descartável ,Recicláveis,Bombona Plástica,Sólido,Reciclagem,II-A,Reciclável
60,30126,Máscara descartável	,Recicláveis,Bombona Plástica,Sólido,Reciclagem,II-A,Reciclável
60,30127,Máscara descartáveis ,Recicláveis,Bombona Plástica,Sólido,Reciclagem,II-A,Reciclável
